,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,salary
26911,24,2,308285,0,9,4,2,3,4,1,40,38,0
23413,53,2,142717,2,13,0,0,4,4,0,40,38,0
20597,18,2,40822,5,7,4,5,3,4,1,15,38,0
8796,58,2,220789,2,13,0,13,1,4,1,45,38,0
25195,56,2,89922,0,9,2,13,0,4,1,45,38,0
3869,41,2,125461,1,10,0,2,1,4,1,40,38,0
1493,52,2,147876,2,13,2,11,5,4,0,60,38,0
5719,55,2,323706,1,10,2,3,0,4,1,40,38,0
14057,27,2,157612,2,13,4,9,1,4,0,55,38,0
22379,52,2,109413,0,9,4,11,1,4,1,40,38,0
5210,60,2,81578,10,5,2,11,0,4,1,40,38,0
21600,32,5,77723,2,13,0,3,1,1,0,40,38,0
18901,36,2,248708,6,12,4,2,1,4,1,40,38,0
18727,45,5,90803,1,10,2,0,0,4,1,40,38,0
11345,38,2,259019,0,9,2,2,0,4,1,44,38,0
21840,53,1,236873,3,14,2,3,0,2,1,40,38,1
8346,25,2,75759,0,9,2,13,0,4,1,44,38,0
20177,38,1,286405,12,16,2,3,0,4,1,50,38,1
26985,38,1,256864,4,11,2,3,0,4,1,40,38,0
17152,39,2,185624,1,10,2,6,0,4,1,50,38,0
5948,25,2,181528,3,14,4,3,1,4,0,43,38,0
17178,59,4,190514,5,7,2,2,0,4,1,20,38,0
21006,39,2,216256,2,13,2,3,0,4,1,60,21,1
7139,49,4,179048,0,9,2,11,0,4,1,60,11,0
26063,44,2,277647,0,9,2,11,0,4,1,40,38,0
4024,29,2,37215,0,9,2,2,0,4,1,55,38,0
10117,45,2,187581,1,10,2,2,0,4,1,40,38,0
9752,35,2,335777,1,10,0,3,1,4,1,40,25,0
18324,49,2,240841,8,4,0,7,4,4,0,35,38,0
24554,49,2,62793,0,9,0,11,3,4,0,40,38,0
15944,58,2,33725,3,14,0,9,1,4,1,20,38,0
10688,64,4,167149,8,4,2,7,0,4,1,25,38,0
11536,57,2,103403,13,3,2,13,0,4,1,40,38,0
23437,24,2,188925,4,11,2,6,0,4,1,40,38,0
11723,22,2,154422,1,10,0,11,3,1,0,30,29,0
4110,27,2,219371,0,9,3,0,4,4,0,40,22,0
21119,55,0,31965,1,10,2,0,0,4,1,40,38,0
12798,30,2,101859,8,4,4,2,1,4,1,50,38,0
25982,19,4,36012,0,9,4,2,3,4,1,40,38,0
28234,21,2,138816,0,9,4,5,3,2,1,20,38,0
14010,30,2,149427,10,5,4,2,3,4,1,45,38,0
18876,56,2,267652,2,13,2,2,0,4,1,40,38,1
15653,62,2,199193,0,9,2,5,0,4,1,25,38,0
25882,32,2,126132,2,13,2,3,0,4,1,50,38,1
2100,21,5,258490,1,10,4,9,1,4,0,20,38,0
3127,31,2,197023,4,11,2,6,0,0,1,40,38,0
24567,41,2,104892,1,10,2,0,0,4,1,40,38,0
